Date,Open,High,Low,Close,Adj Close,Volume
19/11/2015,0.004259,0.004263,0.004205,0.004222,0.004222,173712
20/11/2015,0.004222,0.004237,0.004167,0.004227,0.004227,312768
21/11/2015,0.004227,0.004268,0.004214,0.004245,0.004245,182628
22/11/2015,0.004249,0.004274,0.004238,0.004267,0.004267,174556
23/11/2015,0.004269,0.004351,0.004237,0.004288,0.004288,314451
24/11/2015,0.004288,0.004288,0.004201,0.004242,0.004242,197940
25/11/2015,0.004242,0.004325,0.004228,0.004318,0.004318,197356
26/11/2015,0.004317,0.004435,0.004227,0.004291,0.004291,400520
27/11/2015,0.004276,0.004304,0.004229,0.004276,0.004276,199790
28/11/2015,0.004275,0.004275,0.004208,0.004238,0.004238,195480
29/11/2015,0.004243,0.004299,0.004234,0.004299,0.004299,197822
30/11/2015,0.004298,0.004322,0.004185,0.004201,0.004201,272695
01/12/2015,0.004202,0.004208,0.004054,0.00409,0.00409,312401
02/12/2015,0.004091,0.004189,0.004041,0.004173,0.004173,328403
03/12/2015,0.004176,0.004304,0.004173,0.004262,0.004262,139104
04/12/2015,0.004262,0.004782,0.004239,0.004754,0.004754,930102
05/12/2015,0.004756,0.005301,0.004756,0.005301,0.005301,716241
06/12/2015,0.005302,0.005368,0.005153,0.005344,0.005344,1002000
07/12/2015,0.005312,0.00556,0.005297,0.00556,0.00556,866871
08/12/2015,0.005561,0.006775,0.00556,0.006775,0.006775,2423870
09/12/2015,0.006796,0.008905,0.006746,0.008523,0.008523,5702470
10/12/2015,0.008527,0.009071,0.008444,0.008444,0.008444,3223520
11/12/2015,0.008445,0.008453,0.007793,0.008441,0.008441,3465490
12/12/2015,0.008454,0.008642,0.008123,0.008536,0.008536,1317990
13/12/2015,0.008532,0.008867,0.008472,0.008779,0.008779,1394050
14/12/2015,0.008774,0.00878,0.007614,0.007614,0.007614,2433140
15/12/2015,0.0076,0.0076,0.006622,0.006684,0.006684,4908540
16/12/2015,0.006689,0.006816,0.006454,0.006755,0.006755,1249850
17/12/2015,0.006754,0.006808,0.00667,0.006694,0.006694,556682
18/12/2015,0.006686,0.006686,0.006367,0.006387,0.006387,833330
19/12/2015,0.006383,0.006401,0.006254,0.006291,0.006291,452403
20/12/2015,0.006292,0.006341,0.006205,0.006235,0.006235,577803
21/12/2015,0.006234,0.006356,0.006158,0.006269,0.006269,512514
22/12/2015,0.006271,0.006278,0.006184,0.006193,0.006193,460222
23/12/2015,0.006188,0.006211,0.006015,0.006021,0.006021,364178
24/12/2015,0.006023,0.006053,0.005955,0.005971,0.005971,332166
25/12/2015,0.005971,0.006514,0.00597,0.006487,0.006487,815998
26/12/2015,0.006491,0.006508,0.006145,0.006174,0.006174,665210
27/12/2015,0.006172,0.006355,0.006132,0.006343,0.006343,465856
28/12/2015,0.006348,0.006442,0.006326,0.00634,0.00634,469583
29/12/2015,0.006342,0.006353,0.006245,0.006264,0.006264,312612
30/12/2015,0.006266,0.006271,0.00617,0.006182,0.006182,280345
31/12/2015,0.006184,0.006184,0.006039,0.00604,0.00604,374355
01/01/2016,0.00604,0.006044,0.005933,0.005955,0.005955,211767
02/01/2016,0.005957,0.006079,0.005933,0.006065,0.006065,278539
03/01/2016,0.006066,0.00607,0.005988,0.006017,0.006017,291723
04/01/2016,0.006019,0.006059,0.005953,0.005958,0.005958,310820
05/01/2016,0.005954,0.006044,0.005953,0.006044,0.006044,381554
06/01/2016,0.006044,0.006044,0.005983,0.006003,0.006003,316235
07/01/2016,0.005998,0.00609,0.005998,0.006039,0.006039,426048
08/01/2016,0.00604,0.006055,0.005905,0.005933,0.005933,288641
09/01/2016,0.005937,0.006005,0.005933,0.005982,0.005982,310336
10/01/2016,0.005982,0.005999,0.005931,0.005956,0.005956,195011
11/01/2016,0.005963,0.00597,0.005892,0.005895,0.005895,216286
12/01/2016,0.005892,0.005897,0.005854,0.005854,0.005854,310414
13/01/2016,0.005836,0.005836,0.005753,0.005794,0.005794,497284
14/01/2016,0.005795,0.005802,0.005526,0.005529,0.005529,849371
15/01/2016,0.005528,0.005528,0.005229,0.005229,0.005229,441054
16/01/2016,0.005221,0.005274,0.005072,0.005112,0.005112,304209
17/01/2016,0.00511,0.005285,0.005011,0.005266,0.005266,473175
18/01/2016,0.00527,0.005416,0.005268,0.005326,0.005326,514295
19/01/2016,0.00533,0.00533,0.005262,0.005271,0.005271,226472
20/01/2016,0.005271,0.005394,0.005178,0.005381,0.005381,722260
21/01/2016,0.00537,0.005385,0.005305,0.005313,0.005313,344950
22/01/2016,0.005314,0.005314,0.005093,0.005114,0.005114,355595
23/01/2016,0.005109,0.005192,0.005109,0.00512,0.00512,310286
24/01/2016,0.005121,0.005237,0.005119,0.005219,0.005219,341789
25/01/2016,0.005218,0.005218,0.005064,0.005135,0.005135,412095
26/01/2016,0.005138,0.005477,0.005125,0.005419,0.005419,904781
27/01/2016,0.005408,0.006571,0.005408,0.006506,0.006506,2544770
28/01/2016,0.006507,0.006507,0.00609,0.006226,0.006226,2203940
29/01/2016,0.006228,0.006906,0.005922,0.00684,0.00684,2895430
30/01/2016,0.006824,0.007001,0.006612,0.006634,0.006634,1233320
31/01/2016,0.006631,0.006638,0.006359,0.006399,0.006399,977856
01/02/2016,0.006398,0.006551,0.006366,0.006542,0.006542,830380
02/02/2016,0.006545,0.006791,0.006545,0.006768,0.006768,809854
03/02/2016,0.006771,0.006906,0.00676,0.006883,0.006883,803366
04/02/2016,0.006882,0.00699,0.006856,0.00697,0.00697,1174600
05/02/2016,0.006965,0.007272,0.006958,0.007262,0.007262,1186010
06/02/2016,0.007273,0.007922,0.007247,0.007922,0.007922,1859040
07/02/2016,0.007924,0.008666,0.007924,0.008338,0.008338,2460140
08/02/2016,0.008375,0.008551,0.007959,0.007991,0.007991,1048160
09/02/2016,0.007999,0.00802,0.007736,0.007815,0.007815,866765
10/02/2016,0.007827,0.007943,0.00782,0.007853,0.007853,668185
11/02/2016,0.007857,0.007897,0.00777,0.007815,0.007815,565522
12/02/2016,0.007822,0.007979,0.00773,0.007979,0.007979,816579
13/02/2016,0.007961,0.008315,0.007937,0.008257,0.008257,684444
14/02/2016,0.008263,0.008639,0.008263,0.00859,0.00859,1144830
15/02/2016,0.008593,0.008656,0.008559,0.008631,0.008631,734275
16/02/2016,0.008631,0.00866,0.008434,0.008451,0.008451,1012220
17/02/2016,0.008456,0.008461,0.008113,0.008138,0.008138,1556320
18/02/2016,0.008135,0.008135,0.007897,0.007995,0.007995,854073
19/02/2016,0.007994,0.008252,0.007994,0.008245,0.008245,710808
20/02/2016,0.008253,0.008375,0.00822,0.008253,0.008253,515312
21/02/2016,0.008246,0.008282,0.008067,0.0081,0.0081,472569
22/02/2016,0.0081,0.0081,0.00804,0.00805,0.00805,607198
23/02/2016,0.008055,0.00807,0.007954,0.00797,0.00797,807140
24/02/2016,0.007971,0.008077,0.007951,0.008076,0.008076,473097
25/02/2016,0.008063,0.008076,0.008015,0.008027,0.008027,825297
26/02/2016,0.008025,0.008058,0.008014,0.008058,0.008058,579986
27/02/2016,0.008063,0.008077,0.007972,0.007972,0.007972,417576
28/02/2016,0.007977,0.007987,0.007854,0.007889,0.007889,570935
29/02/2016,0.007895,0.007938,0.007823,0.007923,0.007923,689215
01/03/2016,0.007923,0.00802,0.007923,0.008006,0.008006,738772
02/03/2016,0.008005,0.008055,0.00798,0.00803,0.00803,409388
03/03/2016,0.008028,0.008215,0.007993,0.008162,0.008162,685240
04/03/2016,0.008036,0.00822,0.008033,0.008096,0.008096,567974
05/03/2016,0.008117,0.008176,0.007824,0.007878,0.007878,1148690
06/03/2016,0.007857,0.00791,0.007801,0.00786,0.00786,569577
07/03/2016,0.007835,0.007979,0.007831,0.007918,0.007918,587059
08/03/2016,0.007911,0.007978,0.007895,0.007949,0.007949,655974
09/03/2016,0.007951,0.008094,0.007941,0.008056,0.008056,396527
10/03/2016,0.008051,0.008206,0.008045,0.00819,0.00819,1348660
11/03/2016,0.008183,0.00892,0.008183,0.008803,0.008803,2831220
12/03/2016,0.008801,0.008993,0.008611,0.0087,0.0087,1536850
13/03/2016,0.008698,0.008703,0.008579,0.008635,0.008635,860868
14/03/2016,0.008624,0.008628,0.008472,0.008479,0.008479,846750
15/03/2016,0.008478,0.008495,0.008035,0.008186,0.008186,284572
16/03/2016,0.008185,0.008325,0.008115,0.008178,0.008178,219047
17/03/2016,0.008182,0.008401,0.008162,0.008287,0.008287,176475
18/03/2016,0.008284,0.008356,0.008013,0.008119,0.008119,229313
19/03/2016,0.008124,0.00816,0.007894,0.008016,0.008016,164010
20/03/2016,0.008015,0.008046,0.007872,0.00796,0.00796,115984
21/03/2016,0.007956,0.008079,0.00788,0.008047,0.008047,79784
22/03/2016,0.008028,0.008215,0.008025,0.00811,0.00811,604214
23/03/2016,0.008109,0.008335,0.008106,0.008332,0.008332,1022850
24/03/2016,0.008335,0.008345,0.008229,0.00823,0.00823,965196
25/03/2016,0.008234,0.008272,0.008191,0.008191,0.008191,753671
